LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1760381811.465964,1116353.500,52199,2,MX,1,100,-60
1760381811.506464,1116394.000,52199,2,MX,1,100,-60
1760381811.546131,1116433.667,52218,3,MX,1,100,-60
1760381811.585799,1116473.333,52218,3,MX,1,100,-59
1760381811.625466,1116513.000,52218,3,MX,1,100,-57
1760381811.665966,1116553.500,52235,2,MX,1,100,-55
1760381811.706467,1116594.000,52235,2,MX,1,100,-52
1760381811.746134,1116633.667,52254,3,MX,1,100,-52
1760381811.785801,1116673.333,52254,3,MX,1,100,-52
1760381811.825468,1116713.000,52254,3,MX,1,100,-52
1760381811.865469,1116753.000,52268,2,MX,1,100,-52
1760381811.905469,1116793.000,52268,2,MX,1,100,-53
1760381811.945470,1116833.000,52288,3,MX,1,100,-53
1760381811.985470,1116873.000,52288,3,MX,1,100,-55
1760381812.025471,1116913.000,52288,3,MX,1,100,-57
1760381812.065804,1116953.333,52306,3,MX,1,100,-58
1760381812.106138,1116993.667,52306,3,MX,1,100,-59
1760381812.146472,1117034.000,52306,3,MX,1,100,-58
1760381812.186139,1117073.667,52328,3,MX,1,100,-59
1760381812.225806,1117113.333,52328,3,MX,1,100,-57
1760381812.265474,1117153.000,52328,3,MX,1,100,-59
1760381812.305474,1117193.000,52345,3,MX,1,100,-59
1760381812.345475,1117233.000,52345,3,MX,1,100,-59
1760381812.385475,1117273.000,52345,3,MX,1,100,-57
1760381812.425476,1117313.000,52360,2,MX,1,100,-55
1760381812.465476,1117353.000,52360,2,MX,1,100,-53
1760381812.505477,1117393.000,52378,3,MX,1,100,-52
1760381812.545477,1117433.000,52378,3,MX,1,100,-52
1760381812.585478,1117473.000,52378,3,MX,1,100,-52
1760381812.625478,1117513.000,52395,2,MX,1,100,-53
1760381812.665479,1117553.000,52395,2,MX,1,100,-53
1760381812.705479,1117593.000,52414,3,MX,1,100,-55
1760381812.745480,1117633.000,52414,3,MX,1,100,-55
1760381812.785480,1117673.000,52414,3,MX,1,100,-58
1760381812.825481,1117713.000,52430,2,MX,1,100,-58
1760381812.865481,1117753.000,52430,2,MX,1,100,-58
1760381812.905482,1117793.000,52445,3,MX,1,100,-59
1760381812.945482,1117833.000,52445,3,MX,1,100,-59
1760381812.985483,1117873.000,52445,3,MX,1,100,-58
1760381813.025817,1117913.333,52463,3,MX,1,100,-59
1760381813.066150,1117953.667,52463,3,MX,1,100,-59
1760381813.106484,1117994.000,52463,3,MX,1,100,-59
1760381813.145985,1118033.500,52481,2,MX,1,100,-58
1760381813.185485,1118073.000,52481,2,MX,1,100,-56
1760381813.225486,1118113.000,52498,3,MX,1,100,-55
1760381813.265486,1118153.000,52498,3,MX,1,100,-53
1760381813.305487,1118193.000,52498,3,MX,1,100,-52
1760381813.345487,1118233.000,52515,2,MX,1,100,-53
1760381813.385488,1118273.000,52515,2,MX,1,100,-53
1760381813.425488,1118313.000,52534,3,MX,1,100,-54
1760381813.465489,1118353.000,52534,3,MX,1,100,-56
